,SO2,CO,O3,NO2,PM10,PM25,time,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),운형(운형약어)_AcCc,운형(운형약어)_AcCcCi,운형(운형약어)_AcCi,운형(운형약어)_AcCs,운형(운형약어)_As,운형(운형약어)_CbCu,운형(운형약어)_CbSc,운형(운형약어)_CbScAs,운형(운형약어)_CbScCs,운형(운형약어)_CbScNs,운형(운형약어)_CbStNs,운형(운형약어)_Cc,운형(운형약어)_CcCi,운형(운형약어)_Ci,운형(운형약어)_Cs,운형(운형약어)_CsCi,운형(운형약어)_Cu,운형(운형약어)_CuAc,운형(운형약어)_CuAcCc,운형(운형약어)_CuAs,운형(운형약어)_CuCcCi,운형(운형약어)_CuCi,운형(운형약어)_CuSc,운형(운형약어)_CuScAc,운형(운형약어)_CuScAcCi,운형(운형약어)_CuScAs,운형(운형약어)_CuScCc,운형(운형약어)_CuScCcCi,운형(운형약어)_CuScCi,운형(운형약어)_CuScCs,운형(운형약어)_CuScNs,운형(운형약어)_NoCloud,운형(운형약어)_Sc,운형(운형약어)_ScAc,운형(운형약어)_ScAcCi,운형(운형약어)_ScAcCs,운형(운형약어)_ScAs,운형(운형약어)_ScAsCi,운형(운형약어)_ScCc,운형(운형약어)_ScCcCi,운형(운형약어)_ScCi,운형(운형약어)_ScCs,운형(운형약어)_St,운형(운형약어)_StAs,운형(운형약어)_StAsCi,운형(운형약어)_StNs
10,0.002,0.7,0.016,0.029,42.0,26.0,2021-01-01 11:00:00,-3.2,0.0,1.7,70.0,55,2.7,-10.9,1015.5,1026.5,1.0,1.4,0.0,0.0,0,200.0,2000,0.0,-0.5,-0.8,-1.0,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.004,0.5,0.019,0.024,36.0,20.0,2021-01-01 12:00:00,-1.1,0.0,2.1,200.0,52,2.9,-9.7,1014.8,1025.7,0.9,1.74,0.0,8.0,8,9.0,2000,0.0,1.5,-0.5,-0.8,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.003,0.5,0.024,0.022,29.0,15.0,2021-01-01 13:00:00,-0.2,0.0,3.0,250.0,56,3.4,-7.9,1014.0,1024.9,0.7,1.61,0.0,5.0,5,9.0,2000,0.0,3.3,-0.2,-0.7,0.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.004,0.4,0.027,0.018,30.0,18.0,2021-01-01 14:00:00,1.4,0.0,1.6,200.0,53,3.6,-7.1,1013.2,1024.0,0.8,1.61,0.0,1.0,1,10.0,2000,0.0,4.3,0.0,-0.6,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.004,0.4,0.03,0.015,33.0,19.0,2021-01-01 15:00:00,1.2,0.0,2.6,270.0,52,3.5,-7.5,1013.3,1024.1,1.0,1.43,0.0,4.0,1,11.0,2000,0.0,1.4,0.1,-0.5,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,0.003,0.4,0.031,0.014,26.0,16.0,2021-01-01 16:00:00,-0.2,0.0,3.8,270.0,58,3.5,-7.4,1013.6,1024.5,0.1,0.42,0.0,3.0,3,18.0,2000,0.0,-0.2,0.1,-0.5,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.002,0.5,0.027,0.017,28.0,16.0,2021-01-01 17:00:00,-0.7,0.0,1.8,250.0,61,3.5,-7.3,1013.6,1024.5,0.4,0.28,0.0,3.0,3,17.0,2000,0.0,-0.4,0.2,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.003,0.5,0.022,0.021,27.0,18.0,2021-01-01 18:00:00,-1.4,0.0,2.1,250.0,68,3.8,-6.5,1013.6,1024.5,0.0,0.02,0.0,3.0,3,15.0,2000,0.0,-0.9,0.1,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.003,0.5,0.019,0.024,27.0,17.0,2021-01-01 19:00:00,-1.5,0.0,2.4,250.0,70,3.8,-6.2,1013.6,1024.5,0.0,0.0,0.0,1.0,1,17.0,2000,0.0,-1.2,0.1,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.003,0.5,0.02,0.023,27.0,15.0,2021-01-01 20:00:00,-1.6,0.0,2.5,270.0,73,4.0,-5.8,1013.8,1024.7,0.0,0.0,0.0,8.0,7,15.0,2000,0.0,-1.5,0.1,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.003,0.5,0.024,0.02,26.0,14.0,2021-01-01 21:00:00,-1.6,0.0,2.3,270.0,66,3.6,-7.1,1014.3,1025.2,0.0,0.0,0.0,8.0,8,15.0,2000,0.0,-1.4,0.1,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.004,0.5,0.024,0.017,28.0,16.0,2021-01-01 22:00:00,-1.8,0.0,2.5,270.0,63,3.4,-7.9,1014.7,1025.7,0.0,0.0,0.0,8.0,8,15.0,2000,0.0,-1.8,0.1,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.003,0.5,0.026,0.014,34.0,19.0,2021-01-01 23:00:00,-2.6,0.0,1.9,250.0,55,2.8,-10.4,1014.9,1025.9,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-2.8,0.0,-0.4,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.003,0.4,0.032,0.009,32.0,15.0,2021-01-02 00:00:00,-3.4,0.0,2.5,320.0,55,2.6,-11.1,1015.0,1026.0,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-3.8,-0.1,-0.5,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.003,0.4,0.031,0.01,25.0,9.0,2021-01-02 01:00:00,-4.1,0.0,2.3,320.0,39,1.8,-16.0,1015.1,1026.2,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-4.7,-0.2,-0.5,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.003,0.4,0.017,0.022,29.0,12.0,2021-01-02 02:00:00,-5.0,0.0,2.7,270.0,42,1.8,-15.9,1015.5,1026.6,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-5.3,-0.4,-0.6,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.002,0.4,0.027,0.014,24.0,13.0,2021-01-02 03:00:00,-5.8,0.0,1.9,270.0,45,1.8,-15.8,1015.8,1026.9,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-5.9,-0.5,-0.7,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.003,0.4,0.031,0.01,20.0,8.0,2021-01-02 04:00:00,-6.3,0.0,1.7,290.0,45,1.7,-16.3,1015.8,1027.0,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-6.4,-0.7,-0.8,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.002,0.4,0.026,0.014,19.0,7.0,2021-01-02 05:00:00,-6.6,0.0,1.1,320.0,40,1.5,-17.9,1016.0,1027.2,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-6.9,-0.9,-0.9,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.003,0.5,0.019,0.022,21.0,8.0,2021-01-02 06:00:00,-6.6,0.0,2.7,320.0,35,1.3,-19.5,1016.2,1027.4,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.2,-1.0,-1.0,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.003,0.4,0.018,0.023,19.0,9.0,2021-01-02 07:00:00,-7.4,0.0,1.5,290.0,38,1.3,-19.3,1016.6,1027.8,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.5,-1.1,-1.1,0.0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.003,0.5,0.015,0.026,21.0,8.0,2021-01-02 08:00:00,-8.3,0.0,1.3,270.0,41,1.3,-19.2,1017.1,1028.4,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.8,-1.3,-1.2,0.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.002,0.4,0.024,0.017,18.0,6.0,2021-01-02 09:00:00,-7.6,0.0,2.0,270.0,39,1.4,-19.1,1017.9,1029.1,0.9,0.3,0.0,0.0,0,200.0,2000,0.0,-6.7,-1.4,-1.2,0.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.003,0.4,0.028,0.013,25.0,12.0,2021-01-02 10:00:00,-6.0,0.0,2.3,320.0,35,1.4,-19.0,1018.6,1029.8,1.0,0.88,0.0,0.0,0,200.0,2000,0.0,-3.9,-1.2,-1.2,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.003,0.4,0.027,0.015,22.0,12.0,2021-01-02 11:00:00,-5.3,0.0,3.2,290.0,32,1.3,-19.4,1019.0,1030.1,1.0,1.46,0.0,0.0,0,200.0,2000,0.0,-0.7,-0.9,-1.1,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.003,0.4,0.03,0.013,25.0,13.0,2021-01-02 12:00:00,-3.2,0.0,3.0,270.0,33,1.6,-17.2,1018.7,1029.8,1.0,1.81,0.0,0.0,0,200.0,2000,0.0,1.2,-0.7,-1.0,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.004,0.4,0.033,0.01,29.0,12.0,2021-01-02 13:00:00,-2.3,0.0,2.5,290.0,31,1.6,-17.1,1018.3,1029.3,1.0,1.95,0.0,0.0,0,200.0,2000,0.0,3.6,-0.4,-0.9,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.003,0.4,0.036,0.008,43.0,18.0,2021-01-02 14:00:00,-1.5,0.0,4.4,250.0,31,1.7,-16.4,1018.1,1029.1,1.0,1.87,0.0,0.0,0,200.0,2000,0.0,3.5,-0.3,-0.8,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.004,0.4,0.035,0.009,44.0,16.0,2021-01-02 15:00:00,-2.3,0.0,5.2,290.0,33,1.7,-16.4,1017.9,1028.9,1.0,1.57,0.0,0.0,0,200.0,2000,0.0,1.6,-0.2,-0.7,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.004,0.4,0.032,0.011,48.0,12.0,2021-01-02 16:00:00,-1.7,0.0,3.4,290.0,34,1.8,-15.5,1018.2,1029.2,1.0,1.05,0.0,0.0,0,200.0,2000,0.0,-0.3,-0.1,-0.6,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.003,0.4,0.03,0.013,57.0,17.0,2021-01-02 17:00:00,-2.3,0.0,4.5,270.0,35,1.8,-15.7,1018.9,1029.9,1.0,0.41,0.0,0.0,0,200.0,2000,0.0,-1.1,-0.1,-0.6,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.003,0.5,0.027,0.017,57.0,16.0,2021-01-02 18:00:00,-3.2,0.0,2.7,250.0,39,1.9,-15.2,1019.5,1030.6,0.1,0.04,0.0,0.0,0,200.0,2000,0.0,-2.3,-0.1,-0.6,-0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.002,0.5,0.025,0.016,48.0,15.0,2021-01-02 19:00:00,-3.8,0.0,2.8,270.0,50,2.3,-12.7,1020.0,1031.1,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-3.0,-0.2,-0.6,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.003,0.4,0.027,0.013,55.0,14.0,2021-01-02 20:00:00,-4.2,0.0,2.9,320.0,41,1.8,-15.5,1020.5,1031.6,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-3.8,-0.4,-0.7,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.002,0.4,0.028,0.013,62.0,12.0,2021-01-02 21:00:00,-5.0,0.0,2.3,290.0,39,1.6,-16.8,1020.4,1031.6,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-4.6,-0.5,-0.8,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.003,0.4,0.029,0.01,65.0,14.0,2021-01-02 22:00:00,-5.5,0.0,2.8,320.0,42,1.7,-16.4,1020.6,1031.8,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-5.4,-0.7,-0.9,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.003,0.4,0.031,0.009,65.0,13.0,2021-01-02 23:00:00,-6.1,0.0,1.9,270.0,45,1.7,-16.1,1020.8,1032.0,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-6.0,-0.8,-1.0,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.002,0.4,0.029,0.008,66.0,14.0,2021-01-03 00:00:00,-6.6,0.0,3.8,290.0,45,1.7,-16.5,1021.5,1032.7,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-6.4,-0.9,-1.0,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.003,0.4,0.03,0.008,52.0,12.0,2021-01-03 01:00:00,-7.3,0.0,2.4,270.0,48,1.7,-16.4,1022.0,1033.3,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-6.9,-1.1,-1.1,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.003,0.4,0.025,0.012,48.0,13.0,2021-01-03 02:00:00,-7.7,0.0,2.0,270.0,50,1.7,-16.3,1022.6,1033.9,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.2,-1.2,-1.2,-0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.003,0.4,0.027,0.01,46.0,13.0,2021-01-03 03:00:00,-8.0,0.0,2.2,250.0,51,1.7,-16.3,1022.8,1034.1,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.4,-1.3,-1.3,-0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.003,0.4,0.026,0.011,48.0,12.0,2021-01-03 04:00:00,-8.3,0.0,1.6,270.0,52,1.7,-16.4,1022.9,1034.2,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-7.7,-1.5,-1.4,-0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.003,0.4,0.025,0.011,49.0,12.0,2021-01-03 05:00:00,-8.8,0.0,1.0,270.0,53,1.7,-16.6,1022.6,1033.9,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-8.0,-1.6,-1.4,-0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.003,0.5,0.017,0.019,47.0,14.0,2021-01-03 06:00:00,-9.0,0.0,1.3,270.0,53,1.6,-16.8,1023.4,1034.8,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-8.1,-1.7,-1.5,-0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.003,0.5,0.017,0.021,47.0,13.0,2021-01-03 07:00:00,-8.7,0.0,1.1,290.0,54,1.7,-16.3,1023.6,1035.0,0.0,0.0,0.0,0.0,0,200.0,2000,0.0,-8.3,-1.8,-1.6,-0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
